Gene.ID	Intron_Counts	Intron_Length	Intron_Counts_Norm	Exon_Only_Counts	Exon_Length	Exon_Only_Counts_Norm	ENSUMG	txid	intron_num	Chromosome	Gene.Start	Gene.End	Gene_Length	Strand	FiveSS	ThreeSS	Intron_Size	Uninduced_spliced	Uninduced_unspliced	Induced_spliced	Induced_unspliced	Unind_splice_eff	Induc_splice_eff	Log2_FC.DMSO.splice.eff..Untreated.splice.eff.	LRS_Counts_Unind	LRS_Counts_Induced	Untreated_Int_Count	Untreated_NIC	NIC.0_Yes.1	Intron_within_750nt_TSS_Yes.1	
ENSMUST00000000804.6_intron_12_0_chrX_13290361_f	74	87	850.5747126	336	298	1127.516779	ENSMUSG00000000787	ENSMUST00000000804.6	12	chrX	13280969	13294052	13083	plus	13290359	13290446	87	7	19	2	4	0.269230769	0.333333333	0.308122297	26	6	1	0.125	0	0	
ENSMUST00000000804.6_intron_13_0_chrX_13290564_f	141	339	415.9292035	200	270	740.7407407	ENSMUSG00000000787	ENSMUST00000000804.6	13	chrX	13280969	13294052	13083	plus	13290562	13290901	339	7	10	2	4	0.411764706	0.333333333	-0.304854582	17	6	3	0.3	0	0	
ENSMUST00000000804.6_intron_14_0_chrX_13291055_f	170	110	1545.454545	387	292	1325.342466	ENSMUSG00000000787	ENSMUST00000000804.6	14	chrX	13280969	13294052	13083	plus	13291053	13291163	110	6	11	2	6	0.352941176	0.25	-0.497499658	17	8	0	0	1	0	
ENSMUST00000000804.6_intron_15_0_chrX_13291303_f	81	112	723.2142857	2802	2778	1008.639309	ENSMUSG00000000787	ENSMUST00000000804.6	15	chrX	13280969	13294052	13083	plus	13291301	13291413	112	5	14	1	8	0.263157895	0.111111111	-1.243925584	19	9	1	0.166666667	0	0	
ENSMUST00000000804.6_intron_3_0_chrX_13286167_f	211	1060	199.0566038	238	290	820.6896552	ENSMUSG00000000787	ENSMUST00000000804.6	3	chrX	13280969	13294052	13083	plus	13286165	13287225	1060	4	10	4	7	0.285714286	0.363636364	0.347923302	14	11	0	0	1	0	
ENSMUST00000000804.6_intron_4_0_chrX_13287384_f	17	82	207.3170732	105	257	408.5603113	ENSMUSG00000000787	ENSMUST00000000804.6	4	chrX	13280969	13294052	13083	plus	13287382	13287464	82	17	6	7	4	0.739130435	0.636363636	-0.215977582	23	11	0	0	1	0	
ENSMUST00000000804.6_intron_5_0_chrX_13287564_f	59	223	264.573991	112	234	478.6324786	ENSMUSG00000000787	ENSMUST00000000804.6	5	chrX	13280969	13294052	13083	plus	13287562	13287785	223	13	13	4	8	0.5	0.333333333	-0.584962501	26	12	3	0.1875	0	0	
ENSMUST00000000804.6_intron_6_0_chrX_13287921_f	107	360	297.2222222	138	220	627.2727273	ENSMUSG00000000787	ENSMUST00000000804.6	6	chrX	13280969	13294052	13083	plus	13287919	13288279	360	18	13	4	5	0.580645161	0.444444444	-0.385653692	31	9	3	0.142857143	0	0	
ENSMUST00000000804.6_intron_7_0_chrX_13288365_f	30	210	142.8571429	123	183	672.1311475	ENSMUSG00000000787	ENSMUST00000000804.6	7	chrX	13280969	13294052	13083	plus	13288363	13288573	210	17	27	0	12	0.386363636	0	#NUM!	44	12	1	0.055555556	0	0	
ENSMUST00000000804.6_intron_8_0_chrX_13288672_f	27	110	245.4545455	300	258	1162.790698	ENSMUSG00000000787	ENSMUST00000000804.6	8	chrX	13280969	13294052	13083	plus	13288670	13288780	110	20	14	3	6	0.588235294	0.333333333	-0.819427754	34	9	4	0.166666667	0	0	
ENSMUST00000000804.6_intron_9_0_chrX_13288941_f	266	456	583.3333333	319	304	1049.342105	ENSMUSG00000000787	ENSMUST00000000804.6	9	chrX	13280969	13294052	13083	plus	13288939	13289395	456	17	16	3	4	0.515151515	0.428571429	-0.265461143	33	7	0	0	1	0	
ENSMUST00000000985.6_intron_3_0_chr14_54366853_f	52	174	298.8505747	107	228	469.2982456	ENSMUSG00000000959	ENSMUST00000000985.6	3	chr14	54360840	54369673	8833	plus	54366851	54367025	174	4	6	0	0	0.4	NA	NA	10	0	0	0	1	0	
ENSMUST00000000985.6_intron_4_0_chr14_54367111_f	38	157	242.0382166	49	249	196.7871486	ENSMUSG00000000959	ENSMUST00000000985.6	4	chr14	54360840	54369673	8833	plus	54367109	54367266	157	4	8	0	0	0.333333333	NA	NA	12	0	0	0	1	0	
ENSMUST00000000985.6_intron_5_0_chr14_54367431_f	32	159	201.2578616	45	268	167.9104478	ENSMUSG00000000959	ENSMUST00000000985.6	5	chr14	54360840	54369673	8833	plus	54367429	54367588	159	4	8	0	0	0.333333333	NA	NA	12	0	0	0	1	0	
ENSMUST00000001042.9_intron_1_0_chr3_90477065_f	138	257	536.9649805	91	101	900.990099	ENSMUSG00000001016	ENSMUST00000001042.9	1	chr3	90476146	90488379	12233	plus	90477063	90477320	257	27	2	20	0	0.931034483	1	0.103093493	29	20	0	0	1	0	
ENSMUST00000001042.9_intron_10_0_chr3_90486913_f	35	72	486.1111111	102	175	582.8571429	ENSMUSG00000001016	ENSMUST00000001042.9	10	chr3	90476146	90488379	12233	plus	90486911	90486983	72	7	4	4	0	0.636363636	NA	NA	11	4	5	0.416666667	0	0	
ENSMUST00000001042.9_intron_2_0_chr3_90477363_f	943	3243	290.7801418	41	146	280.8219178	ENSMUSG00000001016	ENSMUST00000001042.9	2	chr3	90476146	90488379	12233	plus	90477361	90480604	3243	25	0	19	1	1	0.95	-0.074000581	25	20	0	0	1	0	
ENSMUST00000001042.9_intron_3_0_chr3_90480709_f	71	286	248.2517483	47	181	259.6685083	ENSMUSG00000001016	ENSMUST00000001042.9	3	chr3	90476146	90488379	12233	plus	90480707	90480993	286	24	2	20	2	0.923076923	0.909090909	-0.022026306	26	22	0	0	1	0	
ENSMUST00000001042.9_intron_4_0_chr3_90481071_f	44	295	149.1525424	65	179	363.1284916	ENSMUSG00000001016	ENSMUST00000001042.9	4	chr3	90476146	90488379	12233	plus	90481069	90481364	295	24	0	20	0	1	1	0	24	20	1	0.04	0	0	
ENSMUST00000001042.9_intron_5_0_chr3_90481467_f	411	1312	313.2621951	67	167	401.1976048	ENSMUSG00000001016	ENSMUST00000001042.9	5	chr3	90476146	90488379	12233	plus	90481465	90482777	1312	19	0	20	0	1	1	0	19	20	3	0.136363636	0	0	
ENSMUST00000001042.9_intron_6_0_chr3_90482843_f	541	1613	335.399876	79	181	436.4640884	ENSMUSG00000001016	ENSMUST00000001042.9	6	chr3	90476146	90488379	12233	plus	90482841	90484454	1613	16	1	19	0	0.941176471	1	0.087462841	17	19	0	0	1	0	
ENSMUST00000001042.9_intron_7_0_chr3_90484571_f	413	1121	368.4210526	133	194	685.5670103	ENSMUSG00000001016	ENSMUST00000001042.9	7	chr3	90476146	90488379	12233	plus	90484569	90485690	1121	15	0	11	0	1	1	0	15	11	7	0.318181818	0	0	
ENSMUST00000001042.9_intron_8_0_chr3_90485769_f	205	418	490.430622	182	165	1103.030303	ENSMUSG00000001016	ENSMUST00000001042.9	8	chr3	90476146	90488379	12233	plus	90485767	90486185	418	14	1	8	0	0.933333333	1	0.099535674	15	8	1	0.066666667	0	0	
ENSMUST00000001042.9_intron_9_0_chr3_90486273_f	328	580	565.5172414	121	148	817.5675676	ENSMUSG00000001016	ENSMUST00000001042.9	9	chr3	90476146	90488379	12233	plus	90486271	90486851	580	15	2	6	2	0.882352941	0.75	-0.234465253	17	8	0	0	1	0	
ENSMUST00000001155.10_intron_1_0_chrX_20850083_f	76	164	463.4146341	84	258	325.5813953	ENSMUSG00000001127	ENSMUST00000001155.10	1	chrX	20848542	20860519	11977	plus	20850081	20850245	164	22	2	30	3	0.916666667	0.909090909	-0.011972642	24	33	0	0	1	0	
ENSMUST00000001155.10_intron_2_0_chrX_20850349_f	183	1119	163.538874	76	205	370.7317073	ENSMUSG00000001127	ENSMUST00000001155.10	2	chrX	20848542	20860519	11977	plus	20850347	20851466	1119	19	7	27	2	0.730769231	0.931034483	0.349418711	26	29	1	0.05	0	0	
ENSMUST00000001155.10_intron_3_0_chrX_20851569_f	18	91	197.8021978	76	256	296.875	ENSMUSG00000001127	ENSMUST00000001155.10	3	chrX	20848542	20860519	11977	plus	20851567	20851658	91	18	2	24	4	0.9	0.857142857	-0.070389328	20	28	1	0.052631579	0	0	
ENSMUST00000001155.10_intron_4_0_chrX_20851813_f	21	119	176.4705882	62	252	246.031746	ENSMUSG00000001127	ENSMUST00000001155.10	4	chrX	20848542	20860519	11977	plus	20851811	20851930	119	14	0	21	1	1	0.954545455	-0.067114196	14	22	0	0	1	0	
ENSMUST00000001186.10_intron_0_0_chr6_86675581_r	88	643	136.8584759	46	493	93.30628803	ENSMUSG00000001158	ENSMUST00000001186.10	4	chr6	86684522	86675150	9372	minus	86676222	86675579	643	10	0	1	2	1	NA	NA	10	3	0	0	1	0	
ENSMUST00000001186.10_intron_1_0_chr6_86676287_r	441	4622	95.41324102	19	143	132.8671329	ENSMUSG00000001158	ENSMUST00000001186.10	3	chr6	86684522	86675150	9372	minus	86680907	86676285	4622	11	0	1	0	1	NA	NA	11	1	0	0	1	0	
ENSMUST00000001186.10_intron_2_0_chr6_86680987_r	39	606	64.35643564	6	191	31.41361257	ENSMUSG00000001158	ENSMUST00000001186.10	2	chr6	86684522	86675150	9372	minus	86681591	86680985	606	12	0	1	2	1	NA	NA	12	3	0	0	1	0	
ENSMUST00000001186.10_intron_3_0_chr6_86681704_r	64	1154	55.4592721	13	232	56.03448276	ENSMUSG00000001158	ENSMUST00000001186.10	1	chr6	86684522	86675150	9372	minus	86682856	86681702	1154	14	2	1	0	0.875	NA	NA	16	1	0	0	1	0	
ENSMUST00000001187.14_intron_10_0_chr6_86760762_r	164	5002	32.78688525	10	132	75.75757576	ENSMUSG00000029994	ENSMUST00000001187.14	1	chr6	86793584	86736840	56744	minus	86765762	86760760	5002	15	0	3	0	1	NA	NA	15	3	0	0	1	0	
ENSMUST00000001187.14_intron_5_0_chr6_86751120_r	41	1035	39.61352657	5	135	37.03703704	ENSMUSG00000029994	ENSMUST00000001187.14	6	chr6	86793584	86736840	56744	minus	86752153	86751118	1035	12	0	3	0	1	NA	NA	12	3	0	0	1	0	
ENSMUST00000001187.14_intron_6_0_chr6_86752233_r	39	1572	24.80916031	9	169	53.25443787	ENSMUSG00000029994	ENSMUST00000001187.14	5	chr6	86793584	86736840	56744	minus	86753803	86752231	1572	12	0	3	0	1	NA	NA	12	3	0	0	1	0	
ENSMUST00000001187.14_intron_7_0_chr6_86753894_r	35	961	36.42039542	20	203	98.52216749	ENSMUSG00000029994	ENSMUST00000001187.14	4	chr6	86793584	86736840	56744	minus	86754853	86753892	961	12	0	3	0	1	NA	NA	12	3	0	0	1	0	
ENSMUST00000001187.14_intron_8_0_chr6_86754967_r	114	2854	39.94393833	21	207	101.4492754	ENSMUSG00000029994	ENSMUST00000001187.14	3	chr6	86793584	86736840	56744	minus	86757819	86754965	2854	14	0	3	0	1	NA	NA	14	3	0	0	1	0	
ENSMUST00000001187.14_intron_9_0_chr6_86757914_r	118	2762	42.72266474	13	181	71.82320442	ENSMUSG00000029994	ENSMUST00000001187.14	2	chr6	86793584	86736840	56744	minus	86760674	86757912	2762	14	0	3	0	1	NA	NA	14	3	0	0	1	0	
ENSMUST00000001416.6_intron_6_0_chr18_36771195_r	69	135	511.1111111	87	205	424.3902439	ENSMUSG00000001380	ENSMUST00000001416.6	4	chr18	36783205	36766529	16676	minus	36771328	36771193	135	10	0	3	0	1	NA	NA	10	3	1	0.090909091	0	0	
ENSMUST00000001416.6_intron_7_0_chr18_36771436_r	313	824	379.8543689	109	232	469.8275862	ENSMUSG00000001380	ENSMUST00000001416.6	3	chr18	36783205	36766529	16676	minus	36772258	36771434	824	13	0	4	0	1	NA	NA	13	4	1	0.071428571	0	0	
ENSMUST00000001416.6_intron_8_0_chr18_36772384_r	514	1138	451.6695958	62	220	281.8181818	ENSMUSG00000001380	ENSMUST00000001416.6	2	chr18	36783205	36766529	16676	minus	36773520	36772382	1138	13	0	4	0	1	NA	NA	13	4	2	0.133333333	0	0	
ENSMUST00000001416.6_intron_9_0_chr18_36773616_r	503	2563	196.2543894	64	214	299.0654206	ENSMUSG00000001380	ENSMUST00000001416.6	1	chr18	36783205	36766529	16676	minus	36776177	36773614	2563	13	0	6	0	1	1	0	13	6	0	0	1	0	
ENSMUST00000001452.13_intron_1_0_chr3_88299404_f	358	1398	256.0801144	43	111	387.3873874	ENSMUSG00000001416	ENSMUST00000001452.13	1	chr3	88297115	88321767	24652	plus	88299402	88300800	1398	31	0	16	1	1	0.941176471	-0.087462841	31	17	2	0.060606061	0	0	
ENSMUST00000001452.13_intron_10_0_chr3_88318527_f	976	1935	504.3927649	190	425	447.0588235	ENSMUSG00000001416	ENSMUST00000001452.13	10	chr3	88297115	88321767	24652	plus	88318525	88320460	1935	10	1	4	2	0.909090909	0.666666667	-0.447458977	11	6	0	0	1	0	
ENSMUST00000001452.13_intron_11_0_chr3_88320706_f	216	310	696.7741935	185	376	492.0212766	ENSMUSG00000001416	ENSMUST00000001452.13	11	chr3	88297115	88321767	24652	plus	88320704	88321014	310	12	4	4	0	0.75	NA	NA	16	4	0	0	1	0	
ENSMUST00000001452.13_intron_12_0_chr3_88321146_f	130	300	433.3333333	275	454	605.7268722	ENSMUSG00000001416	ENSMUST00000001452.13	12	chr3	88297115	88321767	24652	plus	88321144	88321444	300	11	4	3	0	0.733333333	NA	NA	15	3	0	0	1	0	
ENSMUST00000001452.13_intron_2_0_chr3_88300851_f	12	80	150	27	112	241.0714286	ENSMUSG00000001416	ENSMUST00000001452.13	2	chr3	88297115	88321767	24652	plus	88300849	88300929	80	22	10	12	8	0.6875	0.6	-0.196397213	32	20	1	0.043478261	0	0	
ENSMUST00000001452.13_intron_3_0_chr3_88300992_f	611	1778	343.6445444	74	158	468.3544304	ENSMUSG00000001416	ENSMUST00000001452.13	3	chr3	88297115	88321767	24652	plus	88300990	88302768	1778	28	0	17	0	1	1	0	28	17	0	0	1	0	
ENSMUST00000001452.13_intron_4_0_chr3_88302865_f	869	2150	404.1860465	96	213	450.7042254	ENSMUSG00000001416	ENSMUST00000001452.13	4	chr3	88297115	88321767	24652	plus	88302863	88305013	2150	26	0	15	1	1	0.9375	-0.093109404	26	16	0	0	1	0	
ENSMUST00000001452.13_intron_5_0_chr3_88305131_f	1947	4032	482.8869048	97	303	320.1320132	ENSMUSG00000001416	ENSMUST00000001452.13	5	chr3	88297115	88321767	24652	plus	88305129	88309161	4032	23	0	13	0	1	1	0	23	13	2	0.08	0	0	
ENSMUST00000001452.13_intron_6_0_chr3_88309348_f	1093	2327	469.7034809	186	335	555.2238806	ENSMUSG00000001416	ENSMUST00000001452.13	6	chr3	88297115	88321767	24652	plus	88309346	88311673	2327	21	0	9	0	1	1	0	21	9	3	0.125	0	0	
ENSMUST00000001452.13_intron_7_0_chr3_88311823_f	677	1421	476.4250528	229	281	814.9466192	ENSMUSG00000001416	ENSMUST00000001452.13	7	chr3	88297115	88321767	24652	plus	88311821	88313242	1421	16	0	8	0	1	1	0	16	8	0	0	1	0	
ENSMUST00000001452.13_intron_8_0_chr3_88313375_f	163	183	890.7103825	169	213	793.42723	ENSMUSG00000001416	ENSMUST00000001452.13	8	chr3	88297115	88321767	24652	plus	88313373	88313556	183	17	0	7	0	1	1	0	17	7	0	0	1	0	
ENSMUST00000001452.13_intron_9_0_chr3_88313638_f	1908	4710	405.0955414	136	261	521.0727969	ENSMUSG00000001416	ENSMUST00000001452.13	9	chr3	88297115	88321767	24652	plus	88313636	88318346	4710	14	0	6	0	1	1	0	14	6	1	0.066666667	0	0	
ENSMUST00000001479.4_intron_1_0_chr11_97163515_r	129	401	321.6957606	185	275	672.7272727	ENSMUSG00000001440	ENSMUST00000001479.4	19	chr11	97187881	97159713	28168	minus	97163914	97163513	401	6	4	4	0	0.6	NA	NA	10	4	1	0.142857143	0	0	
ENSMUST00000001479.4_intron_10_0_chr11_97170033_r	752	1491	504.3594903	183	321	570.0934579	ENSMUSG00000001440	ENSMUST00000001479.4	10	chr11	97187881	97159713	28168	minus	97171522	97170031	1491	10	1	6	0	0.909090909	1	0.137503524	11	6	1	0.090909091	0	0	
ENSMUST00000001479.4_intron_11_0_chr11_97171714_r	491	1341	366.1446682	224	415	539.7590361	ENSMUSG00000001440	ENSMUST00000001479.4	9	chr11	97187881	97159713	28168	minus	97173053	97171712	1341	10	2	6	1	0.833333333	0.857142857	0.040641985	12	7	0	0	1	0	
ENSMUST00000001479.4_intron_2_0_chr11_97164029_r	295	698	422.6361032	122	219	557.0776256	ENSMUSG00000001440	ENSMUST00000001479.4	18	chr11	97187881	97159713	28168	minus	97164725	97164027	698	7	4	3	5	0.636363636	0.375	-0.762960802	11	8	0	0	1	0	
ENSMUST00000001479.4_intron_9_0_chr11_97169296_r	174	608	286.1842105	135	277	487.3646209	ENSMUSG00000001440	ENSMUST00000001479.4	11	chr11	97187881	97159713	28168	minus	97169902	97169294	608	10	0	7	0	1	1	0	10	7	1	0.090909091	0	0	
