Gene.ID	Intron_Counts	Intron_Length	Intron_Counts_Norm	Exon_Only_Counts	Exon_Length	Exon_Only_Counts_Norm	Intron_Div_Flanking_Exons	ENSUMG	txid	intron_num	Chromosome	Gene.Start	Gene.End	Gene_Length	Strand	FiveSS	ThreeSS	Intron_Size	Uninduced_spliced	Uninduced_unspliced	Induced_spliced	Induced_unspliced	Unind_splice_eff	Induc_splice_eff	Log2_FC.DMSO.splice.eff..Untreated.splice.eff.	LRS_Counts_Unind	LRS_Counts_Induced	Untreated_Int_Count	Untreated_NIC	NIC.0_Yes.1	Intron_within_750nt_TSS_Yes.1
ENSMUST00000000466.12_intron_1_0_chr4_86658716_r	1260.001	1374	917.0312955	144752.449	315	459531.5841	0.001995578	ENSMUSG00000028494	ENSMUST00000000466.12	5	chr4	86670060	86656564	13496	minus	86660088	86658714	1374	15	0	2	0	1	NA	NA	15	2	0	0	1	0
ENSMUST00000000466.12_intron_2_0_chr4_86660270_r	1381.80001	1666	829.4117707	214672.32	460	466678.9565	0.001777264	ENSMUSG00000028494	ENSMUST00000000466.12	4	chr4	86670060	86656564	13496	minus	86661934	86660268	1666	15	0	2	0	1	NA	NA	15	2	1	0.0625	0	0
ENSMUST00000000466.12_intron_3_0_chr4_86662214_r	2243.7809	2217	1012.079793	197954.9	361	548351.5235	0.001845677	ENSMUSG00000028494	ENSMUST00000000466.12	3	chr4	86670060	86656564	13496	minus	86664429	86662212	2217	20	0	4	0	1	NA	NA	20	4	2	0.090909091	0	0
ENSMUST00000000466.12_intron_4_0_chr4_86664512_r	1862.271781	3857	482.829085	168293.8	277	607558.8448	0.000794703	ENSMUSG00000028494	ENSMUST00000000466.12	2	chr4	86670060	86656564	13496	minus	86668367	86664510	3857	23	1	6	0	0.958333333	1	0.061400545	24	6	4	0.148148148	0	0
ENSMUST00000000466.12_intron_5_0_chr4_86668563_r	1785	89	20056.17978	153576	250	614304	0.032648623	ENSMUSG00000028494	ENSMUST00000000466.12	1	chr4	86670060	86656564	13496	minus	86668650	86668561	89	31	4	6	2	0.885714286	0.75	-0.239950793	35	8	0	0	1	0
ENSMUST00000000505.15_intron_0_0_chr5_138164921_r	4883	133	36714.28571	520333.62	446	1166667.309	0.03146937	ENSMUSG00000029730	ENSMUST00000000505.15	13	chr5	138172422	138164582	7840	minus	138165052	138164919	133	4	16	3	0	0.2	NA	NA	20	3	2	0.333333333	0	0
ENSMUST00000000505.15_intron_1_0_chr5_138165162_r	18522.72522	750	24696.96696	446339.897	277	1611335.368	0.015327018	ENSMUSG00000029730	ENSMUST00000000505.15	12	chr5	138172422	138164582	7840	minus	138165910	138165160	750	3	14	3	0	0.176470588	NA	NA	17	3	1	0.25	0	0
ENSMUST00000000505.15_intron_10_0_chr5_138169279_r	5729.5	72	79576.38889	590921.21	304	1943819.77	0.040938152	ENSMUSG00000029730	ENSMUST00000000505.15	3	chr5	138172422	138164582	7840	minus	138169349	138169277	72	25	14	21	4	0.641025641	0.84	0.390007262	39	25	3	0.107142857	0	0
ENSMUST00000000505.15_intron_11_0_chr5_138169474_r	6312.837	88	71736.78409	481468.22	288	1671764.653	0.042910815	ENSMUSG00000029730	ENSMUST00000000505.15	2	chr5	138172422	138164582	7840	minus	138169560	138169472	88	21	28	19	8	0.428571429	0.703703704	0.715432431	49	27	3	0.125	0	0
ENSMUST00000000505.15_intron_12_0_chr5_138169725_r	6066	594	10212.12121	355554.6	243	1463187.654	0.006979365	ENSMUSG00000029730	ENSMUST00000000505.15	1	chr5	138172422	138164582	7840	minus	138170317	138169723	594	31	12	22	2	0.720930233	0.916666667	0.346537561	43	24	0	0	1	0
ENSMUST00000000505.15_intron_2_0_chr5_138166079_r	19327.875	606	31894.18317	384196.301	251	1530662.554	0.020836848	ENSMUSG00000029730	ENSMUST00000000505.15	11	chr5	138172422	138164582	7840	minus	138166683	138166077	606	7	38	7	15	0.155555556	0.318181818	1.032421474	45	22	3	0.3	0	0
ENSMUST00000000505.15_intron_3_0_chr5_138166767_r	9071	281	32281.13879	786268.2	476	1651823.95	0.019542724	ENSMUSG00000029730	ENSMUST00000000505.15	10	chr5	138172422	138164582	7840	minus	138167046	138166765	281	18	16	14	2	0.529411765	0.875	0.724892761	34	16	3	0.142857143	0	0
ENSMUST00000000505.15_intron_4_0_chr5_138167440_r	4906.8332	113	43423.30265	805974.2334	476	1693223.179	0.025645351	ENSMUSG00000029730	ENSMUST00000000505.15	9	chr5	138172422	138164582	7840	minus	138167551	138167438	113	27	12	20	2	0.692307692	0.909090909	0.393011194	39	22	0	0	1	0
ENSMUST00000000505.15_intron_5_0_chr5_138167635_r	5339.99	208	25673.02885	365695.81	214	1708858.925	0.015023492	ENSMUSG00000029730	ENSMUST00000000505.15	8	chr5	138172422	138164582	7840	minus	138167841	138167633	208	28	9	19	6	0.756756757	0.76	0.006169767	37	25	0	0	1	0
ENSMUST00000000505.15_intron_6_0_chr5_138167973_r	5976.84	87	68699.31034	397076.57	245	1620720.694	0.042388124	ENSMUSG00000029730	ENSMUST00000000505.15	7	chr5	138172422	138164582	7840	minus	138168058	138167971	87	26	12	20	6	0.684210526	0.769230769	0.168976173	38	26	0	0	1	0
ENSMUST00000000505.15_intron_7_0_chr5_138168173_r	5568.5	162	34373.45679	327037.88	263	1243490.038	0.027642728	ENSMUSG00000029730	ENSMUST00000000505.15	6	chr5	138172422	138164582	7840	minus	138168333	138168171	162	19	20	19	9	0.487179487	0.678571429	0.478047297	39	28	1	0.05	0	0
ENSMUST00000000505.15_intron_8_0_chr5_138168483_r	10875.423	329	33055.99696	388742.697	286	1359240.199	0.024319467	ENSMUSG00000029730	ENSMUST00000000505.15	5	chr5	138172422	138164582	7840	minus	138168810	138168481	329	17	22	18	10	0.435897436	0.642857143	0.560509457	39	28	3	0.15	0	0
ENSMUST00000000505.15_intron_9_0_chr5_138168948_r	7604.17	152	50027.43421	589153.03	317	1858526.909	0.026917788	ENSMUSG00000029730	ENSMUST00000000505.15	4	chr5	138172422	138164582	7840	minus	138169098	138168946	152	26	10	22	3	0.722222222	0.88	0.285060713	36	25	1	0.037037037	0	0
ENSMUST00000000727.3_intron_2_0_chr10_128682947_r	321.5	250	1286	28650	273	104945.0549	0.012254031	ENSMUSG00000000711	ENSMUST00000000727.3	2	chr10	128696264	128677174	19090	minus	128683195	128682945	250	9	2	5	0	0.818181818	1	0.289506618	11	5	0	0	1	0
ENSMUST00000000756.5_intron_3_0_chr8_123103357_f	83783	543	154296.5009	3355748.35	229	14653922.93	0.010529365	ENSMUSG00000000740	ENSMUST00000000756.5	3	chr8	123102349	123105244	2895	plus	123103355	123103898	543	45	2	15	1	0.957446809	0.9375	-0.03037365	47	16	0	0	1	0
ENSMUST00000000756.5_intron_4_0_chr8_123103955_f	85960.668	1091	78790.71311	2199704.429	256	8592595.426	0.009169606	ENSMUSG00000000740	ENSMUST00000000756.5	4	chr8	123102349	123105244	2895	plus	123103953	123105044	1091	45	8	14	3	0.849056604	0.823529412	-0.044040561	53	17	0	0	1	0
ENSMUST00000000759.8_intron_2_0_chr8_123207602_r	1933.83329	364	5312.728819	214913.42	274	784355.5473	0.006773368	ENSMUSG00000000743	ENSMUST00000000759.8	3	chr8	123212760	123204263	8497	minus	123207964	123207600	364	12	2	9	0	0.857142857	1	0.222392422	14	9	0	0	1	0
ENSMUST00000000759.8_intron_3_0_chr8_123208111_r	3133.8145	912	3436.20011	130690.91	223	586057.8924	0.005863243	ENSMUSG00000000743	ENSMUST00000000759.8	2	chr8	123212760	123204263	8497	minus	123209021	123208109	912	14	1	9	0	0.933333333	1	0.099535674	15	9	0	0	1	0
ENSMUST00000000804.6_intron_1_0_chrX_13284236_f	21683	681	31839.94126	288701.1	104	2775972.115	0.011469835	ENSMUSG00000000787	ENSMUST00000000804.6	1	chrX	13280969	13294052	13083	plus	13284234	13284915	681	4	11	4	3	0.266666667	0.571428571	1.099535672	15	7	0	0	1	0
ENSMUST00000000804.6_intron_10_0_chrX_13289540_f	12826.5	299	42897.99331	638339.9	288	2216457.986	0.0193543	ENSMUSG00000000787	ENSMUST00000000804.6	10	chrX	13280969	13294052	13083	plus	13289538	13289837	299	9	26	0	9	0.257142857	0	#NUM!	35	9	3	0.25	0	0
ENSMUST00000000804.6_intron_11_0_chrX_13289982_f	7947.8	199	39938.69347	710373.2	325	2185763.692	0.018272192	ENSMUSG00000000787	ENSMUST00000000804.6	11	chrX	13280969	13294052	13083	plus	13289980	13290179	199	6	21	2	6	0.222222222	0.25	0.169925003	27	8	5	0.454545455	0	0
ENSMUST00000000804.6_intron_12_0_chrX_13290361_f	7373.4996	87	84752.86897	626900.6504	298	2103693.458	0.040287652	ENSMUSG00000000787	ENSMUST00000000804.6	12	chrX	13280969	13294052	13083	plus	13290359	13290446	87	7	19	2	4	0.269230769	0.333333333	0.308122297	26	6	1	0.125	0	0
ENSMUST00000000804.6_intron_13_0_chrX_13290564_f	8323	339	24551.62242	512437.77	270	1897917.667	0.012936084	ENSMUSG00000000787	ENSMUST00000000804.6	13	chrX	13280969	13294052	13083	plus	13290562	13290901	339	7	10	2	4	0.411764706	0.333333333	-0.304854582	17	6	3	0.3	0	0
ENSMUST00000000804.6_intron_14_0_chrX_13291055_f	8340.333	110	75821.20909	770288.307	292	2637973.654	0.028742216	ENSMUSG00000000787	ENSMUST00000000804.6	14	chrX	13280969	13294052	13083	plus	13291053	13291163	110	6	11	2	6	0.352941176	0.25	-0.497499658	17	8	0	0	1	0
ENSMUST00000000804.6_intron_15_0_chrX_13291303_f	14814.661	112	132273.7589	4099456.359	2778	1475686.234	0.089635422	ENSMUSG00000000787	ENSMUST00000000804.6	15	chrX	13280969	13294052	13083	plus	13291301	13291413	112	5	14	1	8	0.263157895	0.111111111	-1.243925584	19	9	1	0.166666667	0	0
ENSMUST00000000804.6_intron_3_0_chrX_13286167_f	17891.88	1060	16879.13208	1027225.62	290	3542157.31	0.004765212	ENSMUSG00000000787	ENSMUST00000000804.6	3	chrX	13280969	13294052	13083	plus	13286165	13287225	1060	4	10	4	7	0.285714286	0.363636364	0.347923302	14	11	0	0	1	0
ENSMUST00000000804.6_intron_4_0_chrX_13287384_f	11798.49	82	143884.0244	946286.25	257	3682047.665	0.039077176	ENSMUSG00000000787	ENSMUST00000000804.6	4	chrX	13280969	13294052	13083	plus	13287382	13287464	82	17	6	7	4	0.739130435	0.636363636	-0.215977582	23	11	0	0	1	0
ENSMUST00000000804.6_intron_5_0_chrX_13287564_f	6693.5	223	30015.69507	548208.8	234	2342772.65	0.012812039	ENSMUSG00000000787	ENSMUST00000000804.6	5	chrX	13280969	13294052	13083	plus	13287562	13287785	223	13	13	4	8	0.5	0.333333333	-0.584962501	26	12	3	0.1875	0	0
ENSMUST00000000804.6_intron_6_0_chrX_13287921_f	6906.75	360	19185.41667	454691.45	220	2066779.318	0.00928276	ENSMUSG00000000787	ENSMUST00000000804.6	6	chrX	13280969	13294052	13083	plus	13287919	13288279	360	18	13	4	5	0.580645161	0.444444444	-0.385653692	31	9	3	0.142857143	0	0
ENSMUST00000000804.6_intron_7_0_chrX_13288365_f	8343	210	39728.57143	447252.55	183	2444003.005	0.016255533	ENSMUSG00000000787	ENSMUST00000000804.6	7	chrX	13280969	13294052	13083	plus	13288363	13288573	210	17	27	0	12	0.386363636	0	#NUM!	44	12	1	0.055555556	0	0
ENSMUST00000000804.6_intron_8_0_chrX_13288672_f	8664.67	110	78769.72727	715095.82	258	2771689.225	0.028419394	ENSMUSG00000000787	ENSMUST00000000804.6	8	chrX	13280969	13294052	13083	plus	13288670	13288780	110	20	14	3	6	0.588235294	0.333333333	-0.819427754	34	9	4	0.166666667	0	0
ENSMUST00000000804.6_intron_9_0_chrX_13288941_f	12925.5	456	28345.39474	782289.4	304	2573320.395	0.011015105	ENSMUSG00000000787	ENSMUST00000000804.6	9	chrX	13280969	13294052	13083	plus	13288939	13289395	456	17	16	3	4	0.515151515	0.428571429	-0.265461143	33	7	0	0	1	0
ENSMUST00000000985.6_intron_3_0_chr14_54366853_f	1342.5	174	7715.517241	105128	228	461087.7193	0.016733296	ENSMUSG00000000959	ENSMUST00000000985.6	3	chr14	54360840	54369673	8833	plus	54366851	54367025	174	4	6	0	0	0.4	NA	NA	10	0	0	0	1	0
ENSMUST00000000985.6_intron_4_0_chr14_54367111_f	1494	157	9515.923567	110510	249	443815.261	0.021441182	ENSMUSG00000000959	ENSMUST00000000985.6	4	chr14	54360840	54369673	8833	plus	54367109	54367266	157	4	8	0	0	0.333333333	NA	NA	12	0	0	0	1	0
ENSMUST00000000985.6_intron_5_0_chr14_54367431_f	2020.5	159	12707.54717	155232.83	268	579226.9776	0.021938804	ENSMUSG00000000959	ENSMUST00000000985.6	5	chr14	54360840	54369673	8833	plus	54367429	54367588	159	4	8	0	0	0.333333333	NA	NA	12	0	0	0	1	0
ENSMUST00000001042.9_intron_1_0_chr3_90477065_f	5998.16937	257	23339.18043	165643.074	101	1640030.436	0.014230943	ENSMUSG00000001016	ENSMUST00000001042.9	1	chr3	90476146	90488379	12233	plus	90477063	90477320	257	27	2	20	0	0.931034483	1	0.103093493	29	20	0	0	1	0
ENSMUST00000001042.9_intron_10_0_chr3_90486913_f	5879	72	81652.77778	263383	175	1505045.714	0.054252689	ENSMUSG00000001016	ENSMUST00000001042.9	10	chr3	90476146	90488379	12233	plus	90486911	90486983	72	7	4	4	0	0.636363636	NA	NA	11	4	5	0.416666667	0	0
ENSMUST00000001042.9_intron_2_0_chr3_90477363_f	10643.50021	3243	3281.992047	227668.2001	146	1559371.234	0.002104689	ENSMUSG00000001016	ENSMUST00000001042.9	2	chr3	90476146	90488379	12233	plus	90477361	90480604	3243	25	0	19	1	1	0.95	-0.074000581	25	20	0	0	1	0
ENSMUST00000001042.9_intron_3_0_chr3_90480709_f	4239	286	14821.67832	242786.86	181	1341363.867	0.011049707	ENSMUSG00000001016	ENSMUST00000001042.9	3	chr3	90476146	90488379	12233	plus	90480707	90480993	286	24	2	20	2	0.923076923	0.909090909	-0.022026306	26	22	0	0	1	0
ENSMUST00000001042.9_intron_4_0_chr3_90481071_f	5269.5	295	17862.71186	268181.17	179	1498218.827	0.011922632	ENSMUSG00000001016	ENSMUST00000001042.9	4	chr3	90476146	90488379	12233	plus	90481069	90481364	295	24	0	20	0	1	1	0	24	20	1	0.04	0	0
ENSMUST00000001042.9_intron_5_0_chr3_90481467_f	9316.75	1312	7101.181402	316030.35	167	1892397.305	0.003752479	ENSMUSG00000001016	ENSMUST00000001042.9	5	chr3	90476146	90488379	12233	plus	90481465	90482777	1312	19	0	20	0	1	1	0	19	20	3	0.136363636	0	0
ENSMUST00000001042.9_intron_6_0_chr3_90482843_f	13301.166	1613	8246.228146	303225.999	181	1675281.762	0.004922293	ENSMUSG00000001016	ENSMUST00000001042.9	6	chr3	90476146	90488379	12233	plus	90482841	90484454	1613	16	1	19	0	0.941176471	1	0.087462841	17	19	0	0	1	0
ENSMUST00000001042.9_intron_7_0_chr3_90484571_f	11168.25	1121	9962.756467	275227	194	1418695.876	0.007022475	ENSMUSG00000001016	ENSMUST00000001042.9	7	chr3	90476146	90488379	12233	plus	90484569	90485690	1121	15	0	11	0	1	1	0	15	11	7	0.318181818	0	0
ENSMUST00000001042.9_intron_8_0_chr3_90485769_f	4239.5	418	10142.3445	219486	165	1330218.182	0.007624572	ENSMUSG00000001016	ENSMUST00000001042.9	8	chr3	90476146	90488379	12233	plus	90485767	90486185	418	14	1	8	0	0.933333333	1	0.099535674	15	8	1	0.066666667	0	0
ENSMUST00000001042.9_intron_9_0_chr3_90486273_f	13148.75	580	22670.25862	201507.2	148	1361535.135	0.016650513	ENSMUSG00000001016	ENSMUST00000001042.9	9	chr3	90476146	90488379	12233	plus	90486271	90486851	580	15	2	6	2	0.882352941	0.75	-0.234465253	17	8	0	0	1	0
ENSMUST00000001155.10_intron_1_0_chrX_20850083_f	2725.1664	164	16616.86829	286121.9569	258	1108999.833	0.014983653	ENSMUSG00000001127	ENSMUST00000001155.10	1	chrX	20848542	20860519	11977	plus	20850081	20850245	164	22	2	30	3	0.916666667	0.909090909	-0.011972642	24	33	0	0	1	0
ENSMUST00000001155.10_intron_2_0_chrX_20850349_f	13267.84	1119	11856.87221	213721.34	205	1042543.122	0.011373028	ENSMUSG00000001127	ENSMUST00000001155.10	2	chrX	20848542	20860519	11977	plus	20850347	20851466	1119	19	7	27	2	0.730769231	0.931034483	0.349418711	26	29	1	0.05	0	0
ENSMUST00000001155.10_intron_3_0_chrX_20851569_f	5617.76	91	61733.62637	274681.05	256	1072972.852	0.057535124	ENSMUSG00000001127	ENSMUST00000001155.10	3	chrX	20848542	20860519	11977	plus	20851567	20851658	91	18	2	24	4	0.9	0.857142857	-0.070389328	20	28	1	0.052631579	0	0
ENSMUST00000001155.10_intron_4_0_chrX_20851813_f	6033.5	119	50701.68067	216309.42	252	858370.7143	0.059067347	ENSMUSG00000001127	ENSMUST00000001155.10	4	chrX	20848542	20860519	11977	plus	20851811	20851930	119	14	0	21	1	1	0.954545455	-0.067114196	14	22	0	0	1	0
ENSMUST00000001186.10_intron_0_0_chr6_86675581_r	1775	643	2760.497667	125482.5	493	254528.3976	0.010845539	ENSMUSG00000001158	ENSMUST00000001186.10	4	chr6	86684522	86675150	9372	minus	86676222	86675579	643	10	0	1	2	1	NA	NA	10	3	0	0	1	0
ENSMUST00000001186.10_intron_1_0_chr6_86676287_r	1842.95239	4622	398.7348312	70552	143	493370.6294	0.000808185	ENSMUSG00000001158	ENSMUST00000001186.10	3	chr6	86684522	86675150	9372	minus	86680907	86676285	4622	11	0	1	0	1	NA	NA	11	1	0	0	1	0
ENSMUST00000001186.10_intron_2_0_chr6_86680987_r	1360.5	606	2245.049505	83004	191	434575.9162	0.00516607	ENSMUSG00000001158	ENSMUST00000001186.10	2	chr6	86684522	86675150	9372	minus	86681591	86680985	606	12	0	1	2	1	NA	NA	12	3	0	0	1	0
ENSMUST00000001186.10_intron_3_0_chr6_86681704_r	1961.071437	1154	1699.368663	185900	232	801293.1035	0.002120783	ENSMUSG00000001158	ENSMUST00000001186.10	1	chr6	86684522	86675150	9372	minus	86682856	86681702	1154	14	2	1	0	0.875	NA	NA	16	1	0	0	1	0
ENSMUST00000001187.14_intron_10_0_chr6_86760762_r	1078.533299	5002	215.6204116	41995.5	132	318147.7273	0.000677737	ENSMUSG00000029994	ENSMUST00000001187.14	1	chr6	86793584	86736840	56744	minus	86765762	86760760	5002	15	0	3	0	1	NA	NA	15	3	0	0	1	0
ENSMUST00000001187.14_intron_5_0_chr6_86751120_r	850.00001	1035	821.2560483	33957.99998	135	251540.7406	0.003264903	ENSMUSG00000029994	ENSMUST00000001187.14	6	chr6	86793584	86736840	56744	minus	86752153	86751118	1035	12	0	3	0	1	NA	NA	12	3	0	0	1	0
ENSMUST00000001187.14_intron_6_0_chr6_86752233_r	953.088098	1572	606.2901387	55355.73	169	327548.6982	0.001850992	ENSMUSG00000029994	ENSMUST00000001187.14	5	chr6	86793584	86736840	56744	minus	86753803	86752231	1572	12	0	3	0	1	NA	NA	12	3	0	0	1	0
ENSMUST00000001187.14_intron_7_0_chr6_86753894_r	1501.53872	961	1562.475255	81915.567	203	403524.9606	0.003872066	ENSMUSG00000029994	ENSMUST00000001187.14	4	chr6	86793584	86736840	56744	minus	86754853	86753892	961	12	0	3	0	1	NA	NA	12	3	0	0	1	0
ENSMUST00000001187.14_intron_8_0_chr6_86754967_r	1251.39286	2854	438.4698178	82344.27	207	397798.4058	0.001102241	ENSMUSG00000029994	ENSMUST00000001187.14	3	chr6	86793584	86736840	56744	minus	86757819	86754965	2854	14	0	3	0	1	NA	NA	14	3	0	0	1	0
ENSMUST00000001187.14_intron_9_0_chr6_86757914_r	1450	2762	524.9818972	69039.5	181	381433.7017	0.001376339	ENSMUSG00000029994	ENSMUST00000001187.14	2	chr6	86793584	86736840	56744	minus	86760674	86757912	2762	14	0	3	0	1	NA	NA	14	3	0	0	1	0
ENSMUST00000001416.6_intron_6_0_chr18_36771195_r	8328.5	135	61692.59259	520537	205	2539204.878	0.024296028	ENSMUSG00000001380	ENSMUST00000001416.6	4	chr18	36783205	36766529	16676	minus	36771328	36771193	135	10	0	3	0	1	NA	NA	10	3	1	0.090909091	0	0
ENSMUST00000001416.6_intron_7_0_chr18_36771436_r	8143.5	824	9882.88835	551760.5	232	2378278.017	0.004155481	ENSMUSG00000001380	ENSMUST00000001416.6	3	chr18	36783205	36766529	16676	minus	36772258	36771434	824	13	0	4	0	1	NA	NA	13	4	1	0.071428571	0	0
ENSMUST00000001416.6_intron_8_0_chr18_36772384_r	9776.9	1138	8591.300527	490288.5	220	2228584.091	0.003855049	ENSMUSG00000001380	ENSMUST00000001416.6	2	chr18	36783205	36766529	16676	minus	36773520	36772382	1138	13	0	4	0	1	NA	NA	13	4	2	0.133333333	0	0
ENSMUST00000001416.6_intron_9_0_chr18_36773616_r	7885.9664	2563	3076.849941	403460	214	1885327.103	0.001631998	ENSMUSG00000001380	ENSMUST00000001416.6	1	chr18	36783205	36766529	16676	minus	36776177	36773614	2563	13	0	6	0	1	1	0	13	6	0	0	1	0
ENSMUST00000001452.13_intron_1_0_chr3_88299404_f	38155.43	1398	27292.86838	736871.57	111	6638482.613	0.004111311	ENSMUSG00000001416	ENSMUST00000001452.13	1	chr3	88297115	88321767	24652	plus	88299402	88300800	1398	31	0	16	1	1	0.941176471	-0.087462841	31	17	2	0.060606061	0	0
ENSMUST00000001452.13_intron_10_0_chr3_88318527_f	40731.64	1935	21049.94315	3139583.56	425	7387255.435	0.002849494	ENSMUSG00000001416	ENSMUST00000001452.13	10	chr3	88297115	88321767	24652	plus	88318525	88320460	1935	10	1	4	2	0.909090909	0.666666667	-0.447458977	11	6	0	0	1	0
ENSMUST00000001452.13_intron_11_0_chr3_88320706_f	27812.8063	310	89718.73	3046998.104	376	8103718.361	0.011071304	ENSMUSG00000001416	ENSMUST00000001452.13	11	chr3	88297115	88321767	24652	plus	88320704	88321014	310	12	4	4	0	0.75	NA	NA	16	4	0	0	1	0
ENSMUST00000001452.13_intron_12_0_chr3_88321146_f	27290.87	300	90969.56667	2970173.76	454	6542232.952	0.013904972	ENSMUSG00000001416	ENSMUST00000001452.13	12	chr3	88297115	88321767	24652	plus	88321144	88321444	300	11	4	3	0	0.733333333	NA	NA	15	3	0	0	1	0
ENSMUST00000001452.13_intron_2_0_chr3_88300851_f	23199.5	80	289993.75	739985.113	112	6607009.938	0.043891829	ENSMUSG00000001416	ENSMUST00000001452.13	2	chr3	88297115	88321767	24652	plus	88300849	88300929	80	22	10	12	8	0.6875	0.6	-0.196397213	32	20	1	0.043478261	0	0
ENSMUST00000001452.13_intron_3_0_chr3_88300992_f	23003.7134	1778	12937.97154	961832.82	158	6087549.494	0.002125317	ENSMUSG00000001416	ENSMUST00000001452.13	3	chr3	88297115	88321767	24652	plus	88300990	88302768	1778	28	0	17	0	1	1	0	28	17	0	0	1	0
ENSMUST00000001452.13_intron_4_0_chr3_88302865_f	18760.16	2150	8725.655814	1273946.34	213	5980968.732	0.001458903	ENSMUSG00000001416	ENSMUST00000001452.13	4	chr3	88297115	88321767	24652	plus	88302863	88305013	2150	26	0	15	1	1	0.9375	-0.093109404	26	16	0	0	1	0
ENSMUST00000001452.13_intron_5_0_chr3_88305131_f	25426.8284	4032	6306.257044	1606447.03	303	5301805.379	0.001189455	ENSMUSG00000001416	ENSMUST00000001452.13	5	chr3	88297115	88321767	24652	plus	88305129	88309161	4032	23	0	13	0	1	1	0	23	13	2	0.08	0	0
ENSMUST00000001452.13_intron_6_0_chr3_88309348_f	21111.664	2327	9072.481306	1814349.47	335	5415968.567	0.001675136	ENSMUSG00000001416	ENSMUST00000001452.13	6	chr3	88297115	88321767	24652	plus	88309346	88311673	2327	21	0	9	0	1	1	0	21	9	3	0.125	0	0
ENSMUST00000001452.13_intron_7_0_chr3_88311823_f	28506.9471	1421	20061.18726	2131494.12	281	7585388.327	0.002644715	ENSMUSG00000001416	ENSMUST00000001452.13	7	chr3	88297115	88321767	24652	plus	88311821	88313242	1421	16	0	8	0	1	1	0	16	8	0	0	1	0
