chr	start	end	txname	score	strand	geneid	type
chr1	191062904	191062904	ENSMUST00000110891.7	1781	-	ENSMUSG00000026632.17	protein_coding
chr1	191026158	191026158	ENSMUST00000085635.5	6309	-	ENSMUSG00000066595.9	protein_coding
chr1	190979296	190979296	ENSMUST00000166139.6	851	-	ENSMUSG00000037568.12	protein_coding
chr1	190979002	190979002	ENSMUST00000047409.8	960	-	ENSMUSG00000037568.12	protein_coding
chr1	190911769	190911769	ENSMUST00000159066.1	1967	-	ENSMUSG00000089872.10	protein_coding
chr1	189922363	189922363	ENSMUST00000027897.7	1762	-	ENSMUSG00000026603.13	protein_coding
chr1	189688086	189688086	ENSMUST00000165962.1	3496	-	ENSMUSG00000026605.14	protein_coding
chr1	189007840	189007840	ENSMUST00000085678.7	2775	-	ENSMUSG00000026608.13	protein_coding
chr1	187215446	187215446	ENSMUST00000027908.12	466	-	ENSMUSG00000026611.17	protein_coding
chr1	187215446	187215446	ENSMUST00000183469.1	466	-	ENSMUSG00000026611.17	processed_transcript
chr1	187215421	187215421	ENSMUST00000110945.3	477	-	ENSMUSG00000026611.17	protein_coding
chr1	186749358	186749358	ENSMUST00000001339.5	1514	-	ENSMUSG00000001305.5	protein_coding
chr1	185329396	185329396	ENSMUST00000027921.10	2788	-	ENSMUSG00000026618.11	protein_coding
chr1	185329396	185329396	ENSMUST00000110974.3	2788	-	ENSMUSG00000026618.11	protein_coding
chr1	184846451	184846451	ENSMUST00000161821.3	327	-	ENSMUSG00000073481.9	protein_coding
chr1	184845881	184845881	ENSMUST00000068725.9	3249	-	ENSMUSG00000073481.9	protein_coding
chr1	184845808	184845808	ENSMUST00000159293.7	3444	-	ENSMUSG00000073481.9	processed_transcript
chr1	184811197	184811197	ENSMUST00000048462.12	162	-	ENSMUSG00000026621.13	protein_coding
chr1	184732619	184732619	ENSMUST00000048572.6	714	-	ENSMUSG00000039377.7	protein_coding
chr1	183369553	183369553	ENSMUST00000194543.1	2285	-	ENSMUSG00000056050.12	protein_coding
chr1	183297256	183297256	ENSMUST00000163528.7	1102	-	ENSMUSG00000046836.13	protein_coding
chr1	183297256	183297256	ENSMUST00000193326.5	1102	-	ENSMUSG00000046836.13	processed_transcript
chr1	183296992	183296992	ENSMUST00000057062.11	3141	-	ENSMUSG00000046836.13	protein_coding
chr1	183221522	183221522	ENSMUST00000194033.1	2215	-	ENSMUSG00000030768.12	protein_coding
chr1	183221490	183221490	ENSMUST00000195372.1	2340	-	ENSMUSG00000030768.12	protein_coding
chr1	183221485	183221485	ENSMUST00000003035.11	2358	-	ENSMUSG00000030768.12	protein_coding
chr1	182517524	182517524	ENSMUST00000068505.9	1762	-	ENSMUSG00000026509.15	protein_coding
chr1	182341618	182341618	ENSMUST00000051431.9	4205	-	ENSMUSG00000047539.9	protein_coding
chr1	182282804	182282804	ENSMUST00000035295.5	13496	-	ENSMUSG00000038633.5	protein_coding
chr1	182282224	182282224	ENSMUST00000133052.1	790	-	ENSMUSG00000038633.5	protein_coding
chr1	181843046	181843046	ENSMUST00000193030.5	377	-	ENSMUSG00000004880.11	protein_coding
chr1	181842859	181842859	ENSMUST00000195299.5	203	-	ENSMUSG00000004880.11	protein_coding
chr1	181842379	181842379	ENSMUST00000005003.11	8760	-	ENSMUSG00000004880.11	protein_coding
chr1	181828886	181828886	ENSMUST00000194415.1	206	-	ENSMUSG00000004880.11	protein_coding
chr1	181211552	181211552	ENSMUST00000162819.7	1116	-	ENSMUSG00000038733.13	protein_coding
chr1	181144204	181144204	ENSMUST00000027797.8	2048	-	ENSMUSG00000026516.8	protein_coding
chr1	181017569	181017569	ENSMUST00000036928.11	762	-	ENSMUSG00000038776.13	protein_coding
chr1	181017569	181017569	ENSMUST00000111068.7	762	-	ENSMUSG00000038776.13	protein_coding
chr1	180813943	180813943	ENSMUST00000162814.7	265	-	ENSMUSG00000060743.12	protein_coding
chr1	180813632	180813632	ENSMUST00000161308.7	10846	-	ENSMUSG00000060743.12	protein_coding
chr1	180813603	180813603	ENSMUST00000159685.1	12127	-	ENSMUSG00000060743.12	protein_coding
chr1	180813603	180813603	ENSMUST00000162118.7	12127	-	ENSMUSG00000060743.12	protein_coding
chr1	180813534	180813534	ENSMUST00000159789.1	13504	-	ENSMUSG00000060743.12	protein_coding
chr1	180256300	180256300	ENSMUST00000111108.9	880	-	ENSMUSG00000010609.15	protein_coding
chr1	180245950	180245950	ENSMUST00000010753.13	120	-	ENSMUSG00000010609.15	protein_coding
chr1	180196075	180196075	ENSMUST00000161814.7	740	-	ENSMUSG00000026489.13	protein_coding
chr1	180196020	180196020	ENSMUST00000027766.12	1850	-	ENSMUSG00000026489.13	protein_coding
chr1	180195961	180195961	ENSMUST00000161379.1	1874	-	ENSMUSG00000026489.13	protein_coding
chr1	180195902	180195902	ENSMUST00000161746.1	1909	-	ENSMUSG00000026489.13	protein_coding
chr1	179803680	179803680	ENSMUST00000027768.13	8121	-	ENSMUSG00000026491.13	protein_coding
chr1	179752409	179752409	ENSMUST00000140489.1	135	-	ENSMUSG00000026491.13	protein_coding
chr1	179546267	179546267	ENSMUST00000027769.5	1398	-	ENSMUSG00000026492.11	protein_coding
chr1	179518041	179518041	ENSMUST00000111134.1	2476	-	ENSMUSG00000055067.15	protein_coding
chr1	179518034	179518034	ENSMUST00000128302.7	2480	-	ENSMUSG00000055067.15	protein_coding
chr1	179518005	179518005	ENSMUST00000194237.1	2506	-	ENSMUSG00000055067.15	protein_coding
chr1	178337797	178337797	ENSMUST00000037748.8	7265	-	ENSMUSG00000039630.10	protein_coding
chr1	178324171	178324171	ENSMUST00000159117.1	504	-	ENSMUSG00000039630.10	processed_transcript
chr1	177796511	177796511	ENSMUST00000016105.8	3950	-	ENSMUSG00000015961.8	protein_coding
chr1	176814067	176814067	ENSMUST00000192961.5	829	-	ENSMUSG00000057335.11	protein_coding
chr1	175692776	175692776	ENSMUST00000027809.7	140	-	ENSMUSG00000026525.9	protein_coding
chr1	175692630	175692630	ENSMUST00000211489.1	4859	-	ENSMUSG00000078185.3	protein_coding
chr1	175625635	175625635	ENSMUST00000027810.13	1988	-	ENSMUSG00000026526.14	protein_coding
chr1	173333502	173333502	ENSMUST00000038227.5	500	-	ENSMUSG00000037872.5	protein_coding
chr1	172632962	172632962	ENSMUST00000027826.6	562	-	ENSMUSG00000026544.6	protein_coding
chr1	172206804	172206804	ENSMUST00000013842.11	405	-	ENSMUSG00000013698.12	protein_coding
chr1	172206804	172206804	ENSMUST00000111247.7	405	-	ENSMUSG00000013698.12	protein_coding
chr1	172206697	172206697	ENSMUST00000155109.1	549	-	ENSMUSG00000013698.12	protein_coding
chr1	172082795	172082795	ENSMUST00000003550.10	4278	-	ENSMUSG00000003458.12	protein_coding
chr1	172027295	172027295	ENSMUST00000027837.12	236	-	ENSMUSG00000026556.15	protein_coding
chr1	172027295	172027295	ENSMUST00000111264.7	236	-	ENSMUSG00000026556.15	protein_coding
chr1	172027268	172027268	ENSMUST00000138714.1	239	-	ENSMUSG00000026556.15	protein_coding
chr1	171345646	171345646	ENSMUST00000111289.7	942	-	ENSMUSG00000013997.10	protein_coding
chr1	171345645	171345645	ENSMUST00000111295.7	942	-	ENSMUSG00000013997.10	protein_coding
chr1	171345645	171345645	ENSMUST00000148339.1	942	-	ENSMUSG00000013997.10	protein_coding
chr1	171345625	171345625	ENSMUST00000156856.7	967	-	ENSMUSG00000013997.10	protein_coding
chr1	171295024	171295024	ENSMUST00000080001.8	662	-	ENSMUSG00000062963.10	protein_coding
chr1	171294987	171294987	ENSMUST00000111302.3	651	-	ENSMUSG00000062963.10	protein_coding
chr1	171287991	171287991	ENSMUST00000065941.11	2458	-	ENSMUSG00000053483.13	protein_coding
chr1	171287961	171287961	ENSMUST00000111306.9	2559	-	ENSMUSG00000053483.13	protein_coding
chr1	171281186	171281186	ENSMUST00000073120.10	613	-	ENSMUSG00000062729.11	protein_coding
chr1	171247122	171247122	ENSMUST00000013737.12	2393	-	ENSMUSG00000013593.12	protein_coding
chr1	171234365	171234365	ENSMUST00000079957.11	264	-	ENSMUSG00000058715.11	protein_coding
chr1	171234307	171234307	ENSMUST00000193973.1	267	-	ENSMUSG00000058715.11	protein_coding
chr1	171222514	171222514	ENSMUST00000005817.8	793	-	ENSMUSG00000005674.9	protein_coding
chr1	171222432	171222432	ENSMUST00000154106.7	840	-	ENSMUSG00000005674.9	processed_transcript
chr1	171222184	171222184	ENSMUST00000111327.7	225	-	ENSMUSG00000005674.9	protein_coding
chr1	171150603	171150603	ENSMUST00000111336.9	2563	-	ENSMUSG00000058076.12	protein_coding
chr1	171150591	171150591	ENSMUST00000081560.4	2584	-	ENSMUSG00000058076.12	protein_coding
chr1	171064935	171064935	ENSMUST00000164179.1	132	-	ENSMUSG00000059498.13	protein_coding
chr1	170976127	170976127	ENSMUST00000027966.13	1521	-	ENSMUSG00000026656.15	protein_coding
chr1	170976127	170976127	ENSMUST00000081103.11	1521	-	ENSMUSG00000026656.15	protein_coding
chr1	170976127	170976127	ENSMUST00000159688.1	1521	-	ENSMUSG00000026656.15	protein_coding
chr1	170885540	170885540	ENSMUST00000027970.13	502	-	ENSMUSG00000026659.13	protein_coding
chr1	170867771	170867771	ENSMUST00000027974.6	6895	-	ENSMUSG00000026663.6	protein_coding
chr1	170215397	170215397	ENSMUST00000027979.13	4728	-	ENSMUSG00000026667.14	protein_coding
chr1	170214734	170214734	ENSMUST00000150821.7	225	-	ENSMUSG00000026667.14	protein_coding
chr1	170174957	170174957	ENSMUST00000111350.9	1258	-	ENSMUSG00000026670.15	protein_coding
chr1	170174946	170174946	ENSMUST00000027981.7	1296	-	ENSMUSG00000026670.15	protein_coding
chr1	170174946	170174946	ENSMUST00000111351.9	1296	-	ENSMUSG00000026670.15	protein_coding
chr1	169969241	169969241	ENSMUST00000027989.12	2130	-	ENSMUSG00000026675.12	protein_coding
chr1	169969241	169969241	ENSMUST00000111353.3	2130	-	ENSMUSG00000026675.12	protein_coding
chr1	169531464	169531464	ENSMUST00000111368.7	699	-	ENSMUSG00000026683.14	protein_coding
chr1	169531428	169531428	ENSMUST00000028000.12	904	-	ENSMUSG00000026683.14	protein_coding
chr1	169531411	169531411	ENSMUST00000192248.1	916	-	ENSMUSG00000026683.14	protein_coding
chr1	167393841	167393841	ENSMUST00000028005.2	2248	-	ENSMUSG00000026688.5	protein_coding
chr1	167284707	167284707	ENSMUST00000193579.1	1405	-	ENSMUSG00000026558.13	processed_transcript
chr1	167284601	167284601	ENSMUST00000192269.2	819	-	ENSMUSG00000026558.13	protein_coding
chr1	166409863	166409863	ENSMUST00000128861.2	1476	-	ENSMUSG00000040596.15	protein_coding
chr1	166409828	166409828	ENSMUST00000169324.7	1600	-	ENSMUSG00000040596.15	protein_coding
chr1	166409782	166409782	ENSMUST00000135673.7	1767	-	ENSMUSG00000040596.15	protein_coding
chr1	166409391	166409391	ENSMUST00000131487.7	241	-	ENSMUSG00000040596.15	protein_coding
chr1	166409289	166409289	ENSMUST00000127596.2	155	-	ENSMUSG00000040596.15	protein_coding
chr1	166002678	166002678	ENSMUST00000160260.8	2850	-	ENSMUSG00000026565.18	protein_coding
chr1	166002622	166002622	ENSMUST00000160908.7	3078	-	ENSMUSG00000026565.18	protein_coding
chr1	166002618	166002618	ENSMUST00000184643.7	3082	-	ENSMUSG00000026565.18	protein_coding
chr1	166002613	166002613	ENSMUST00000177358.7	3083	-	ENSMUSG00000026565.18	protein_coding
chr1	166002609	166002609	ENSMUST00000176800.1	3081	-	ENSMUSG00000026565.18	protein_coding
chr1	165934948	165934948	ENSMUST00000111427.8	155	-	ENSMUSG00000026565.18	protein_coding
chr1	165709757	165709757	ENSMUST00000195045.1	342	-	ENSMUSG00000040723.14	processed_transcript
chr1	165708086	165708086	ENSMUST00000097474.8	1606	-	ENSMUSG00000040723.14	protein_coding
chr1	165708048	165708048	ENSMUST00000040357.10	1543	-	ENSMUSG00000040723.14	protein_coding
chr1	165634538	165634538	ENSMUST00000193023.1	2959	-	ENSMUSG00000026566.15	protein_coding
chr1	165634529	165634529	ENSMUST00000111435.8	3073	-	ENSMUSG00000026566.15	protein_coding
chr1	165634521	165634521	ENSMUST00000068705.12	3105	-	ENSMUSG00000026566.15	protein_coding
chr1	165634513	165634513	ENSMUST00000194437.5	3141	-	ENSMUSG00000026566.15	protein_coding
chr1	165460465	165460465	ENSMUST00000027856.12	13720	-	ENSMUSG00000026571.12	protein_coding
chr1	165236943	165236943	ENSMUST00000043235.7	5549	-	ENSMUSG00000040843.10	protein_coding
chr1	165236932	165236932	ENSMUST00000156102.1	5585	-	ENSMUSG00000040843.10	processed_transcript
chr1	165236922	165236922	ENSMUST00000142191.1	5635	-	ENSMUSG00000040843.10	processed_transcript
chr1	165236513	165236513	ENSMUST00000195248.2	209	-	ENSMUSG00000040843.10	protein_coding
chr1	165194438	165194438	ENSMUST00000043338.9	235	-	ENSMUSG00000040848.11	protein_coding
chr1	164307489	164307489	ENSMUST00000086032.3	133	-	ENSMUSG00000026577.13	protein_coding
chr1	164307489	164307489	ENSMUST00000120447.7	133	-	ENSMUSG00000026577.13	protein_coding
chr1	164307484	164307484	ENSMUST00000027866.10	133	-	ENSMUSG00000026577.13	protein_coding
chr1	164307272	164307272	ENSMUST00000124007.1	2665	-	ENSMUSG00000026577.13	processed_transcript
chr1	163994796	163994796	ENSMUST00000045876.7	2488	-	ENSMUSG00000041406.14	protein_coding
chr1	163994796	163994796	ENSMUST00000097493.9	2488	-	ENSMUSG00000041406.14	protein_coding
chr1	163994541	163994541	ENSMUST00000162949.1	444	-	ENSMUSG00000041406.14	processed_transcript
chr1	163403669	163403669	ENSMUST00000045138.5	1317	-	ENSMUSG00000040124.5	protein_coding
chr1	162740487	162740487	ENSMUST00000183286.1	2589	-	ENSMUSG00000040225.15	processed_transcript
chr1	162740404	162740404	ENSMUST00000183011.7	2832	-	ENSMUSG00000040225.15	protein_coding
chr1	162548551	162548551	ENSMUST00000028017.15	1542	-	ENSMUSG00000026694.19	protein_coding
chr1	161969148	161969148	ENSMUST00000141397.1	704	-	ENSMUSG00000086277.2	processed_transcript
chr1	161876682	161876682	ENSMUST00000048377.10	7910	-	ENSMUSG00000040297.12	protein_coding
chr1	161251219	161251219	ENSMUST00000071718.11	3193	-	ENSMUSG00000026701.15	protein_coding
chr1	161251169	161251169	ENSMUST00000156678.7	3292	-	ENSMUSG00000026701.15	processed_transcript
chr1	161251166	161251166	ENSMUST00000051925.4	3293	-	ENSMUSG00000026701.15	protein_coding
chr1	161251121	161251121	ENSMUST00000156318.7	3387	-	ENSMUSG00000026701.15	processed_transcript
chr1	161250554	161250554	ENSMUST00000139387.7	365	-	ENSMUSG00000026701.15	processed_transcript
chr1	161131511	161131511	ENSMUST00000111611.7	3154	-	ENSMUSG00000026705.16	protein_coding
chr1	161070658	161070658	ENSMUST00000035430.3	1160	-	ENSMUSG00000026709.10	protein_coding
chr1	161034849	161034849	ENSMUST00000162226.8	749	-	ENSMUSG00000043467.19	protein_coding
chr1	161034848	161034848	ENSMUST00000159250.8	749	-	ENSMUSG00000043467.19	protein_coding
chr1	161034816	161034816	ENSMUST00000177003.1	786	-	ENSMUSG00000043467.19	protein_coding
chr1	161034259	161034259	ENSMUST00000172044.7	1020	-	ENSMUSG00000043467.19	protein_coding
chr1	160793211	160793211	ENSMUST00000193810.1	167	-	ENSMUSG00000026721.16	protein_coding
chr1	160792946	160792946	ENSMUST00000028049.12	2311	-	ENSMUSG00000026721.16	protein_coding
chr1	160792938	160792938	ENSMUST00000195442.5	2734	-	ENSMUSG00000026721.16	protein_coding
chr1	160212875	160212875	ENSMUST00000014370.10	2990	-	ENSMUSG00000014226.10	protein_coding
chr1	160212805	160212805	ENSMUST00000195654.1	3422	-	ENSMUSG00000014226.10	protein_coding
chr1	157412595	157412595	ENSMUST00000078308.12	1773	-	ENSMUSG00000070565.11	protein_coding
chr1	156939626	156939626	ENSMUST00000185198.6	2447	-	ENSMUSG00000026594.14	protein_coding
chr1	156939608	156939608	ENSMUST00000191605.6	2506	-	ENSMUSG00000026594.14	protein_coding
chr1	156939602	156939602	ENSMUST00000172057.7	2510	-	ENSMUSG00000026594.14	protein_coding
chr1	156939593	156939593	ENSMUST00000190648.6	2519	-	ENSMUSG00000026594.14	protein_coding
chr1	156939567	156939567	ENSMUST00000189316.6	2489	-	ENSMUSG00000026594.14	protein_coding
chr1	156939543	156939543	ENSMUST00000027886.13	2563	-	ENSMUSG00000026594.14	protein_coding
chr1	156939531	156939531	ENSMUST00000063199.12	2572	-	ENSMUSG00000026594.14	protein_coding
chr1	156938818	156938818	ENSMUST00000188656.6	246	-	ENSMUSG00000026594.14	protein_coding
chr1	156938781	156938781	ENSMUST00000189648.1	219	-	ENSMUSG00000026594.14	protein_coding
chr1	156719086	156719086	ENSMUST00000086153.7	1867	-	ENSMUSG00000033557.17	protein_coding
chr1	156674356	156674356	ENSMUST00000079625.10	2430	-	ENSMUSG00000060519.11	protein_coding
chr1	156674335	156674335	ENSMUST00000190607.1	2425	-	ENSMUSG00000060519.11	protein_coding
chr1	156674314	156674314	ENSMUST00000188964.6	2503	-	ENSMUSG00000060519.11	protein_coding
chr1	156474331	156474331	ENSMUST00000189661.6	1547	-	ENSMUSG00000026600.12	protein_coding
chr1	156474264	156474264	ENSMUST00000188027.1	1715	-	ENSMUSG00000026600.12	protein_coding
chr1	156420922	156420922	ENSMUST00000179744.1	600	-	ENSMUSG00000026601.14	protein_coding
chr1	156420886	156420886	ENSMUST00000179985.7	413	-	ENSMUSG00000026601.14	protein_coding
chr1	156303664	156303664	ENSMUST00000121146.9	190	-	ENSMUSG00000060985.15	protein_coding
chr1	156303606	156303606	ENSMUST00000141760.3	196	-	ENSMUSG00000060985.15	protein_coding
chr1	156036480	156036480	ENSMUST00000027738.13	2144	-	ENSMUSG00000026466.16	protein_coding
chr1	156036427	156036427	ENSMUST00000097527.9	2047	-	ENSMUSG00000026466.16	protein_coding
chr1	156034880	156034880	ENSMUST00000141878.7	346	-	ENSMUSG00000026466.16	protein_coding
chr1	156034817	156034817	ENSMUST00000169241.7	304	-	ENSMUSG00000026466.16	protein_coding
chr1	155972890	155972890	ENSMUST00000124495.2	372	-	ENSMUSG00000033671.18	protein_coding
chr1	155812889	155812889	ENSMUST00000035325.14	1788	-	ENSMUSG00000033684.14	protein_coding
chr1	155812851	155812851	ENSMUST00000111764.7	1858	-	ENSMUSG00000033684.14	protein_coding
chr1	155812844	155812844	ENSMUST00000194632.1	1867	-	ENSMUSG00000033684.14	protein_coding
chr1	155417415	155417415	ENSMUST00000111774.1	4196	-	ENSMUSG00000026469.14	protein_coding
chr1	155417329	155417329	ENSMUST00000027741.11	4495	-	ENSMUSG00000026469.14	protein_coding
chr1	155146783	155146783	ENSMUST00000027744.9	858	-	ENSMUSG00000026471.14	protein_coding
chr1	153900208	153900208	ENSMUST00000123490.1	994	-	ENSMUSG00000045968.7	protein_coding
chr1	153487651	153487651	ENSMUST00000188345.1	2073	-	ENSMUSG00000042699.11	protein_coding
chr1	153487608	153487608	ENSMUST00000186380.6	2191	-	ENSMUSG00000042699.11	protein_coding
chr1	153332786	153332786	ENSMUST00000027752.14	2951	-	ENSMUSG00000026478.14	protein_coding
chr1	152902646	152902646	ENSMUST00000111836.3	4467	-	ENSMUSG00000042772.15	protein_coding
chr1	152902622	152902622	ENSMUST00000073441.12	4581	-	ENSMUSG00000042772.15	protein_coding
chr1	152592759	152592759	ENSMUST00000128251.7	778	-	ENSMUSG00000026482.13	processed_transcript
chr1	152386688	152386688	ENSMUST00000163027.1	2027	-	ENSMUSG00000014980.14	processed_transcript
chr1	152386682	152386682	ENSMUST00000015124.14	2065	-	ENSMUSG00000014980.14	protein_coding
chr1	152090125	152090125	ENSMUST00000044581.13	135	-	ENSMUSG00000032666.16	protein_coding
chr1	151500955	151500955	ENSMUST00000076110.10	587	-	ENSMUSG00000026484.13	protein_coding
chr1	151500811	151500811	ENSMUST00000187048.6	2098	-	ENSMUSG00000026484.13	protein_coding
chr1	151500794	151500794	ENSMUST00000187991.1	2087	-	ENSMUSG00000026484.13	protein_coding
chr1	151428455	151428455	ENSMUST00000064771.11	1250	-	ENSMUSG00000052748.14	protein_coding
chr1	149961290	149961290	ENSMUST00000070200.14	790	-	ENSMUSG00000056220.14	protein_coding
chr1	149961258	149961258	ENSMUST00000190507.1	813	-	ENSMUSG00000056220.14	protein_coding
chr1	149961255	149961255	ENSMUST00000134676.1	813	-	ENSMUSG00000056220.14	processed_transcript
chr1	144775435	144775435	ENSMUST00000027603.3	2196	-	ENSMUSG00000026357.3	protein_coding
chr1	144004161	144004161	ENSMUST00000127206.7	11391	-	ENSMUSG00000026360.9	protein_coding
chr1	144004032	144004032	ENSMUST00000153527.2	11438	-	ENSMUSG00000026360.9	protein_coding
chr1	143777068	143777068	ENSMUST00000159879.1	3376	-	ENSMUSG00000018199.9	protein_coding
chr1	143702893	143702893	ENSMUST00000018337.8	1872	-	ENSMUSG00000026361.9	protein_coding
chr1	138856852	138856852	ENSMUST00000112025.2	1851	-	ENSMUSG00000079283.2	protein_coding
chr1	138842457	138842457	ENSMUST00000019374.13	309	-	ENSMUSG00000019230.14	protein_coding
chr1	138842429	138842429	ENSMUST00000112026.3	310	-	ENSMUSG00000019230.14	protein_coding
chr1	138619749	138619749	ENSMUST00000186017.6	2116	-	ENSMUSG00000026393.10	protein_coding
chr1	138619674	138619674	ENSMUST00000027642.4	2223	-	ENSMUSG00000026393.10	protein_coding
chr1	138175306	138175306	ENSMUST00000182283.7	546	-	ENSMUSG00000026395.16	protein_coding
chr1	138175300	138175300	ENSMUST00000182755.7	559	-	ENSMUSG00000026395.16	protein_coding
chr1	136346090	136346090	ENSMUST00000194730.1	2927	-	ENSMUSG00000041570.14	processed_transcript
chr1	136345698	136345698	ENSMUST00000192001.5	357	-	ENSMUSG00000041570.14	protein_coding
chr1	136345698	136345698	ENSMUST00000192314.1	357	-	ENSMUSG00000041570.14	protein_coding
chr1	135430499	135430499	ENSMUST00000041023.13	3623	-	ENSMUSG00000041879.13	protein_coding
chr1	135313778	135313778	ENSMUST00000081104.9	3549	-	ENSMUSG00000062580.9	protein_coding
chr1	135313691	135313691	ENSMUST00000134088.2	4841	-	ENSMUSG00000062580.9	protein_coding
chr1	135284084	135284084	ENSMUST00000074357.7	2149	-	ENSMUSG00000041926.15	protein_coding
chr1	135284084	135284084	ENSMUST00000077340.13	2149	-	ENSMUSG00000041926.15	protein_coding
chr1	134955942	134955942	ENSMUST00000112163.1	2009	-	ENSMUSG00000073557.11	protein_coding
chr1	134955851	134955851	ENSMUST00000168381.7	2130	-	ENSMUSG00000073557.11	protein_coding
chr1	134361979	134361979	ENSMUST00000049470.10	6345	-	ENSMUSG00000042305.12	protein_coding
chr1	134361690	134361690	ENSMUST00000185903.1	739	-	ENSMUSG00000042305.12	protein_coding
chr1	134079120	134079120	ENSMUST00000020692.6	24953	-	ENSMUSG00000020423.6	protein_coding
chr1	133907999	133907999	ENSMUST00000153617.8	125	-	ENSMUSG00000010311.15	protein_coding
chr1	133753747	133753747	ENSMUST00000048953.13	138	-	ENSMUSG00000026463.17	protein_coding
chr1	133753747	133753747	ENSMUST00000165602.8	138	-	ENSMUSG00000026463.17	protein_coding
chr1	133753681	133753681	ENSMUST00000125659.7	146	-	ENSMUSG00000026463.17	protein_coding
chr1	133753281	133753281	ENSMUST00000112264.1	182	-	ENSMUSG00000026463.17	protein_coding
chr1	133690108	133690108	ENSMUST00000169295.7	147	-	ENSMUSG00000051998.14	protein_coding
chr1	133690086	133690086	ENSMUST00000189524.1	144	-	ENSMUSG00000051998.14	protein_coding
chr1	133661380	133661380	ENSMUST00000027736.12	5507	-	ENSMUSG00000116275.1	protein_coding
chr1	133661368	133661368	ENSMUST00000192148.1	5534	-	ENSMUSG00000102976.6	processed_transcript
chr1	133661359	133661359	ENSMUST00000191932.1	5539	-	ENSMUSG00000102976.6	processed_transcript
chr1	133661358	133661358	ENSMUST00000194668.5	5539	-	ENSMUSG00000102976.6	protein_coding
chr1	133661318	133661318	ENSMUST00000179598.3	5591	-	ENSMUSG00000094410.7	protein_coding
chr1	133661318	133661318	ENSMUST00000191896.5	5591	-	ENSMUSG00000102976.6	protein_coding
chr1	133661296	133661296	ENSMUST00000195067.1	5606	-	ENSMUSG00000102976.6	protein_coding
chr1	133661282	133661282	ENSMUST00000193504.5	5602	-	ENSMUSG00000102976.6	protein_coding
chr1	133610291	133610291	ENSMUST00000166915.7	1973	-	ENSMUSG00000090553.8	protein_coding
chr1	133610249	133610249	ENSMUST00000164096.1	2095	-	ENSMUSG00000090553.8	protein_coding
chr1	133610232	133610232	ENSMUST00000166291.7	2158	-	ENSMUSG00000090553.8	protein_coding
chr1	133610215	133610215	ENSMUST00000164574.1	2184	-	ENSMUSG00000090553.8	protein_coding
chr1	133025416	133025416	ENSMUST00000188090.6	2173	-	ENSMUSG00000054387.13	protein_coding
chr1	133025356	133025356	ENSMUST00000067398.12	2374	-	ENSMUSG00000054387.13	protein_coding
chr1	133025348	133025348	ENSMUST00000067429.9	2379	-	ENSMUSG00000054387.13	protein_coding
